file	line	sentence	source_scope	source_sha256	paragraph_id	paragraph_thesis	sentence_role	link_to_previous	support_status	support_or_revision
paper/body.tex	291	$c$ is the mean baseline-subtracted agent cost in weighted tokens, with k denoting $10^3$, and CV is its standard deviation divided by its mean.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:paired-replays	Define matched-input metrics and differences in collection conditions.	Define c,k and CV.	Makes the replay summaries over290 interpretable.	SUPPORTED	CV is across the thirty bindings, not repeated-run variance within one binding.
paper/body.tex	292	The saving share uses expected fallback cost $qc$, not an observed bill from a post-failure agent run.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:paired-replays	Define matched-input metrics and differences in collection conditions.	State the fallback-cost approximation.	Explains how agent summaries in291 enter saving.	SUPPORTED	qc is expected mean-cost fallback, not a measured immediate recovery bill.
paper/body.tex	293	Program outcomes come from the original deployment, while agent replays use the later emulator setup.}	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:paired-replays	Define matched-input metrics and differences in collection conditions.	State differing collection conditions.	Limits causal interpretation of the matched inputs in289-292.	SUPPORTED	Original program deployment and later emulator replay are separate campaigns.
paper/body.tex	346	\caption{Initial compilation outcomes and conditional payback counts.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Identify outcome and payback columns.	Opens the caption with the two objects reported.	SUPPORTED	Initial attempt outcome and successful-attempt payback are distinct.
paper/body.tex	347	Completed attempts charge translation, the selected builder, and recorded repair calls, whether verification succeeds or fails.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Define completed selected-attempt charges.	Explains the completed-attempt price underlying the outcome/payback table.	SUPPORTED	Translation, selected builder and retained repairs are charged for complete success and rejection paths; the incomplete Calc exception is defined later in the caption.
paper/body.tex	348	Costs are weighted tokens, with k denoting $10^3$.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Define the cost unit and scale.	Makes the price in347 numerically interpretable.	SUPPORTED	Weighted tokens with k=10^3.
paper/body.tex	349	Initial and final pass are fractions of five held-out bindings before and after repair.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Define initial/final held-out pass fractions.	Explains the outcomes paired with cost in346-348.	SUPPORTED	Selected three-trace artifact before/after repair, five bindings each.
paper/body.tex	350	$N^*_{\mathrm{marg}}=C/s$ uses the successful attempt shown, while $N^*_{\mathrm{incl}}=(C+3c)/s$ adds three mean-cost agent runs.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Define marginal/inclusive payback.	Connects the attempt cost to serving saving.	SUPPORTED	C/s uses the shown successful attempt;(C+3c)/s adds three standardized mean-cost agent runs, not all acquisition retries.
paper/body.tex	351	Neither count includes earlier unsuccessful compilations or future replacement.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	State omitted acquisition costs.	Bounds the payback formulas in350.	SUPPORTED	Earlier failed compilations and later replacement are excluded.
paper/body.tex	352	Qwen Calc reports the retained translation and builder spend from an interrupted attempt that did not complete candidate selection.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Define the interrupted Calc accounting exception.	Qualifies the completed-attempt accounting rule after defining its payback limits.	SUPPORTED	The retained partial Calc sum includes translation and builders before candidate selection finished; it is not described as a completed selected-program failure price.
paper/body.tex	353	The refused web cell has no attempt cost.}	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:price	Define attempt-price accounting, verification counts, conditional payback, and exceptional records.	Define the refused web cell's missing attempt cost.	Adds the upstream refusal case to the interrupted-record case in the preceding sentence.	SUPPORTED	Qwen CommentPost produced no compilation-stage record before provider refusal.
paper/body.tex	428	\caption{Repeated compilation outcomes and checks of the original programs.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:verification-repeat	Separate repeated admission counts from supplied/extracted checks of original artifacts.	Identify repeated attempts and artifact rechecks.	Opens the caption with its two questions.	SUPPORTED	Verified-of-three counts and supplied/extracted checks measure different outcomes.
paper/body.tex	429	The Verified column counts verified attempts, including the original attempt.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:verification-repeat	Separate repeated admission counts from supplied/extracted checks of original artifacts.	Define the Verified column.	Explains the first outcome type introduced in427.	SUPPORTED	Corrected column name matches header; all counts include the original attempt.
paper/body.tex	430	Each $\dagger$ marks one attempt lost to repeated empty provider replies.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:verification-repeat	Separate repeated admission counts from supplied/extracted checks of original artifacts.	Define provider-failure daggers.	Explains annotated unsuccessful attempts in428.	SUPPORTED	One GLM Calendar and two DeepSeek Calendar attempts ended in repeated empty replies.
paper/body.tex	431	The remaining columns rerun the original artifact on new bindings with supplied or model-extracted parameters.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:verification-repeat	Separate repeated admission counts from supplied/extracted checks of original artifacts.	Define supplied/extracted columns.	Explains the second outcome type introduced in427.	SUPPORTED	Both rerun the original artifact on new bindings, not each newly compiled artifact.
paper/body.tex	432	For the two DeepSeek families without a verified program, these columns test the rejected artifact.	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:verification-repeat	Separate repeated admission counts from supplied/extracted checks of original artifacts.	Identify rejected-artifact rechecks.	Prevents original artifact in430 from implying admission.	SUPPORTED	DeepSeek Calendar and OsmAnd use the rejected original programs.
paper/body.tex	433	Qwen OsmAnd has no repeated series.}	main text before standalone appendix, four measurement captions only	ab639098f24e7307639646a1a283302356fd0af958aaa8e4ce668f06b3b3e589	tab:verification-repeat	Separate repeated admission counts from supplied/extracted checks of original artifacts.	Explain missing Qwen OsmAnd series.	States which original family did not receive replication.	SUPPORTED	Only the three initially verified Qwen Android families received additional attempts.
