file	lines	paragraph_main_point	sentence_role	connection_to_previous	connection_to_next	evidence	issue_or_action	sentence_or_math_unit
paper/online_protocol.tex	163	Reserve the next failed-attempt cost	Limits lifetime-budget claim	Explains that changing forecast/accounts mean no fixed lifetime ceiling.	Connects the mechanism to projected versus projected_cap evaluation.	revision_sim.py:142,155-158	Supported.	It does not impose a fixed lifetime budget because the forecast and accounted savings can change.
paper/online_protocol.tex	164	Reserve the next failed-attempt cost	States controlled cap comparison	Connects the mechanism to projected versus projected_cap evaluation.	Moves from acquisition losses to ongoing library cost.	revision_sim.py:142,155-158	Supported.	We evaluate its effect by comparing the same trigger with and without the check.
paper/online_protocol.tex	166	Artifact retention, manifest residency, and supplied information	Separates artifact and manifest	Moves from acquisition losses to ongoing library cost.	Uses the separation to remove route cost without deleting reusable artifact.	revision_sim.py:48-51,67-85,96-118,171-176	Supported abstraction of alive/listed state.	The program library separates stored artifacts from entries in the routing manifest.
paper/online_protocol.tex	167	Artifact retention, manifest residency, and supplied information	Defines idle eviction	Uses the separation to remove route cost without deleting reusable artifact.	Explains reuse after eviction only when not invalidated by detected break.	revision_sim.py:48-51,67-85,96-118,171-176	Timer begins at admission/latest use; removal at t>last_use+T.	An entry leaves the manifest after $T$ arrivals without a use, while its artifact remains stored.
paper/online_protocol.tex	168	Artifact retention, manifest residency, and supplied information	Defines relisting qualification	Explains reuse after eviction only when not invalidated by detected break.	Makes supplied family identity and retrieval cost assumptions explicit.	revision_sim.py:48-51,67-85,96-118,171-176	Corrected; silent invalidity may remain undetected.	When the family returns, the system relists the stored artifact if it has not been invalidated by a detected break.
paper/online_protocol.tex	169	Artifact retention, manifest residency, and supplied information	States free lookup and priced manifest	Makes supplied family identity and retrieval cost assumptions explicit.	Explains how the policy knows whether detected failure invalidates the program.	revision_sim.py:48-51,67-85,96-118,171-176	Router charges tau0+m*library before current service.	The simulations supply family identities and free artifact lookup, and charge a router cost of $\tau_0+mL_t$ for $L_t$ listed programs.
paper/online_protocol.tex	170	Artifact retention, manifest residency, and supplied information	States failure-type information	Explains how the policy knows whether detected failure invalidates the program.	Ensures the trigger is not given a distinct library service.	revision_sim.py:48-51,67-85,96-118,171-176	Added disclosure matches simulator's internal died variable.	They also identify whether a detected failure invalidates the program or affects only the current use.
paper/online_protocol.tex	171	Artifact retention, manifest residency, and supplied information	States common residency	Ensures the trigger is not given a distinct library service.	Connects common library convention to decision-rule comparison.	revision_sim.py:48-51,67-85,96-118,171-176	Supported for all evaluated policies.	They apply the same residency rule to all policies.
paper/online_protocol.tex	172	Artifact retention, manifest residency, and supplied information	Explains comparison purpose	Connects common library convention to decision-rule comparison.	Introduces pseudocode after defining all components.	revision_sim.py:48-51,67-85,96-118,171-176	Supported.	This controls the comparison's library costs without giving the proposed trigger a different retrieval service.
paper/online_protocol.tex	175	Algorithm summary and information boundary	Caption states chronology	Introduces pseudocode after defining all components.	Distinguishes supplied costs/failures from observed-rate estimates.	revision_sim.py:67-179	Supported.	\caption{Compilation after the current task has been served.
paper/online_protocol.tex	176	Algorithm summary and information boundary	Caption states information boundary	Distinguishes supplied costs/failures from observed-rate estimates.	Applies common residency at the start of the current arrival.	revision_sim.py:67-179	Could name main detected-failure setting explicitly; surrounding scope already does.	Costs and failure parameters are supplied, while recurrence and verification estimates use past observations.}
paper/online_protocol.tex	179	Algorithm summary and information boundary	Evicts and relists before routing	Applies common residency at the start of the current arrival.	Uses availability after relisting and charges current manifest.	revision_sim.py:67-179	Exact order.	\State Remove idle manifest entries and relist a stored program for the arriving family if no detected break has invalidated it
paper/online_protocol.tex	180	Algorithm summary and information boundary	Routes and serves	Uses availability after relisting and charges current manifest.	Adds one reactive fallback and invalidates only drift.	revision_sim.py:67-179	No newly compiled program can serve this arrival.	\State Pay routing cost and serve the task with the live program or agent
paper/online_protocol.tex	181	Algorithm summary and information boundary	Handles detected program failure	Adds one reactive fallback and invalidates only drift.	Updates completed runs and saving only after service.	revision_sim.py:67-179	Cause distinction now disclosed in prose.	\State On detected failure, pay one agent fallback and invalidate the program if drift caused the failure
paper/online_protocol.tex	182	Algorithm summary and information boundary	Logs completed observations	Updates completed runs and saving only after service.	Uses observations through this arrival before any new attempt.	revision_sim.py:67-179	Matches engine124-132.	\State Log completed agent runs and update accounted savings $S_f$
paper/online_protocol.tex	183	Algorithm summary and information boundary	Updates forecasts	Uses observations through this arrival before any new attempt.	Combines completed runs, absent program, and positive saving.	revision_sim.py:67-179	p_hat excludes not-yet-made attempt and incorporates it on next decision.	\State Update $\hat{\lambda}_f,\hat{H}_f,\hat{p}_f,\hat{B}_f$ using Equations~\ref{eq:projection} and~\ref{eq:estimated-price}
paper/online_protocol.tex	184	Algorithm summary and information boundary	Checks basic eligibility	Combines completed runs, absent program, and positive saving.	Requires both expected-cost comparison and failed-cost allowance.	revision_sim.py:67-179	Matches projected rule.	\If{at least three agent runs are complete, no live program exists, and $s_{h,f}>0$}
paper/online_protocol.tex	185	Algorithm summary and information boundary	Checks trigger and reserve	Requires both expected-cost comparison and failed-cost allowance.	Performs at most one attempt after eligibility checks.	revision_sim.py:67-179	Exact.	\If{both Equations~\ref{eq:trigger} and~\ref{eq:failed-spend} hold}
paper/online_protocol.tex	186	Algorithm summary and information boundary	Attempts compilation and counts it	Performs at most one attempt after eligibility checks.	Uses completed attempt outcome for the charge and state change.	revision_sim.py:67-179	Matches engine160-165.	\State Compile and verify a candidate, and increment $a_f$
paper/online_protocol.tex	187	Algorithm summary and information boundary	Branches on verification	Uses completed attempt outcome for the charge and state change.	Enables later program use and records admission.	revision_sim.py:67-179	Supported.	\If{verification passes}
paper/online_protocol.tex	188	Algorithm summary and information boundary	Charges and stores success	Enables later program use and records admission.	Preserves failed spend without adding a live program.	revision_sim.py:67-179	No retroactive route charge at installation arrival.	\State Pay $C_f$, increment $g_f$, and store and list the program for later arrivals
paper/online_protocol.tex	190	Algorithm summary and information boundary	Charges failed attempt	Preserves failed spend without adding a live program.	Closes algorithm by restricting comparator differences to named rules.	revision_sim.py:67-179	Supported.	\State Pay $C_f^{\mathrm{fail}}$ and add it to $F_f$
paper/online_protocol.tex	197	Common comparison and silent-failure scope	States common implementation	Closes algorithm by restricting comparator differences to named rules.	Connects common implementation to recurrence-trigger and cap comparisons.	revision_sim.py:80,101-104,130-158; run_paper_revision.py:199-203,276-283	Main comparisons wording avoids unconditional sensitivity cost claim.	The main comparisons use the same service order, cost profiles, and residency convention, with each named comparator changing only its stated decision rule.
paper/online_protocol.tex	198	Common comparison and silent-failure scope	States evaluation target	Connects common implementation to recurrence-trigger and cap comparisons.	Identifies the setting outside detected-failure expected-token equation.	revision_sim.py:80,101-104,130-158; run_paper_revision.py:199-203,276-283	Cap ablation isolates cap; other trigger comparisons evaluate whole projected rule, not each estimator choice separately.	The evaluation tests the recurrence projection and failed-spend check within this common implementation.
paper/online_protocol.tex	199	Common comparison and silent-failure scope	Discloses penalized silent forecast	Identifies the setting outside detected-failure expected-token equation.	Closes with scope of references versus actual implemented rule.	revision_sim.py:80,101-104,130-158; run_paper_revision.py:199-203,276-283	Correct; S excludes hidden harm and silent-invalid programs persist, so generalized forecast is not exact all-state expected token saving.	The silent-failure sensitivity adds an assumed failure penalty to the controller's forecast and reports that penalty separately from token cost.
paper/online_protocol.tex	200	Common comparison and silent-failure scope	Separates guarantees from empirical comparisons	Closes with scope of references versus actual implemented rule.	Closes the file; any later simulation-result sentence requires separate review.	revision_sim.py:80,101-104,130-158; run_paper_revision.py:199-203,276-283	Correct.	The reference guarantees above remain separate from these empirical comparisons.
paper/abstract.tex	2	Abstract: economic problem, measurement evidence, and online decision	Opens with reuse benefit	Introduces why compiling recurring GUI tasks is useful.	Explains why cheaper per-use serving does not settle the initial decision.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	Supported by program path.	Compiling a recurring computer-use task into a program can reduce the model calls needed to serve later tasks.
paper/abstract.tex	3	Abstract: economic problem, measurement evidence, and online decision	States acquisition problem	Explains why cheaper per-use serving does not settle the initial decision.	Answers the problem with measurement and decision protocols.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	Supported.	The initial compilation may still cost more than it saves if verification fails or too few useful executions follow.
paper/abstract.tex	4	Abstract: economic problem, measurement evidence, and online decision	States two-part approach	Answers the problem with measurement and decision protocols.	Specifies what measurement contributes to the approach.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	Supported.	We study this decision through a measurement protocol and an online compilation protocol.
paper/abstract.tex	5	Abstract: economic problem, measurement evidence, and online decision	Defines measured cost account	Specifies what measurement contributes to the approach.	Gives setting for the following quantitative claims.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	Supported under retained-call boundary.	The measurement charges translation, construction, repair, and unsuccessful attempts, then compares agent and program serving costs under a shared accounting scheme.
paper/abstract.tex	6	Abstract: economic problem, measurement evidence, and online decision	Reports coverage and admissions	Gives setting for the following quantitative claims.	Supplies the two cost facts that motivate a conditional compilation decision.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	JSON independently confirms20 retained profiles,15 admitted, seven families across three models.	Across seven families on Android, desktop, and web interfaces with three models, fifteen cells produce verified programs.
paper/abstract.tex	7	Abstract: economic problem, measurement evidence, and online decision	Reports serving saving and failed-cost contrast	Supplies the two cost facts that motivate a conditional compilation decision.	Examines repeatability and matched-input scope after reporting initial costs.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	JSON shares0.7940640892-0.9986696779; failed/success DeepSeek median ratio10.5093892274; across-family contrast only.	Their estimated per-use saving shares range from $0.794$ to nearly $1$, while failed DeepSeek compilations have a median cost $10.5$ times that of successful ones.
paper/abstract.tex	8	Abstract: economic problem, measurement evidence, and online decision	Adds supporting checks	Examines repeatability and matched-input scope after reporting initial costs.	Uses measured profiles and past rates to decide future benefit.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	JSON nine replay rows sum270; eleven repeated series. Examines stability does not establish iid retries.	Repeated compilations and $270$ agent replays on matched task inputs examine the stability and scope of these measurements.
paper/abstract.tex	9	Abstract: economic problem, measurement evidence, and online decision	States online mechanism	Uses measured profiles and past rates to decide future benefit.	Completes method-to-evaluation progression.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	Verification probability is more precise than verification.	The online protocol uses the measured cost profiles and estimates recurrence and verification to decide whether future savings justify compilation.
paper/abstract.tex	10	Abstract: economic problem, measurement evidence, and online decision	States evaluation scope	Completes method-to-evaluation progression.	Closes the file; any later simulation-result sentence requires separate review.	body.tex:180-191,269-271,402-405,418-473; measurement_update_20260918.json; revision_sim.py:135-158	Supported design claim; final abstract needs actual audited online outcome after run completes.	We evaluate it on synthetic arrivals and arrival orders from public logs, using a common service order and cost account for all policies.
paper/conclusion.tex	4	Conclusion: acquisition and replacement qualify serving savings	States main economic lesson	Summarizes dependence on serving, acquisition, and replacement costs.	Supports lesson with large saving, failed spend, and changed outcomes.	body.tex:269-271,402-405,461-473; revision_sim.py:76-80,135-158	Supported.	The value of a compiled computer-use program depends on both its serving saving and the cost of obtaining and replacing it.
paper/conclusion.tex	5	Conclusion: acquisition and replacement qualify serving savings	Recalls observations	Supports lesson with large saving, failed spend, and changed outcomes.	Connects those separate measurements to an online decision.	body.tex:269-271,402-405,461-473; revision_sim.py:76-80,135-158	Supported by measured and repeated checks.	Our measurements show large per-use savings for verified programs, but also costly unsuccessful attempts and outcomes that can change across repeated checks.
paper/conclusion.tex	6	Conclusion: acquisition and replacement qualify serving savings	States methodological contribution	Connects those separate measurements to an online decision.	Prevents overclaiming fully online cost learning.	body.tex:269-271,402-405,461-473; revision_sim.py:76-80,135-158	Supported.	We separate these quantities in the cost account and use them to define an online compilation decision.
paper/conclusion.tex	7	Conclusion: acquisition and replacement qualify serving savings	States supplied-versus-estimated limit	Prevents overclaiming fully online cost learning.	Explains what the explicit assumptions permit.	body.tex:269-271,402-405,461-473; revision_sim.py:76-80,135-158	Supported.	The protocol estimates recurrence and verification from past observations while using supplied cost profiles.
paper/conclusion.tex	8	Conclusion: acquisition and replacement qualify serving savings	States comparison consequence	Explains what the explicit assumptions permit.	Closes the file; any later simulation-result sentence requires separate review.	body.tex:269-271,402-405,461-473; revision_sim.py:76-80,135-158	Supported pending-results conclusion; final paper needs actual empirical lesson, including adverse cases.	This makes the decision assumptions explicit and allows compilation rules to be compared under the same task stream and accounting boundary.
