file	lines	paragraph_main_point	sentence_role	connection_to_previous	connection_to_next	evidence	issue_or_action	sentence_or_table_unit
paper/online_results_tables.tex	10	Table1 policy definitions	Completes cap membership	Makes count/excess check use explicit.	Specifies interval attached to the main column.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Supported.	The count and excess rules also use the check.
paper/online_results_tables.tex	11	Table1 uncertainty	Defines Full interval	Specifies interval attached to the main column.	Limits emphasis to point estimates rather than significance.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	All18 interval endpoints match frozen paired aggregate bootstrap.	The interval beside Full is its $95$ percent paired bootstrap interval.
paper/online_results_tables.tex	12	Table1 winner formatting	Defines bold criterion	Limits emphasis to point estimates rather than significance.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	All bold winners are correct. No entry is bold in two DeepSeek rows because omitted agent baseline is cheapest; optionally make this explicit.	Bold marks the lowest point estimate among the eight policies, including the unit-cost agent baseline.}
paper/online_results_tables.tex	20	Table1 numeric row GLM/binary_replay	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	GLM & Outcome replay & \textbf{0.381} & 0.389 & 0.457 & 0.598 & 0.434 & 0.405 & 0.405 [0.401, 0.410] \\
paper/online_results_tables.tex	21	Table1 numeric row GLM/soft	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	 & $0.8/0.2$ & \textbf{0.406} & 0.417 & 0.475 & 0.606 & 0.458 & 0.429 & 0.429 [0.421, 0.437] \\
paper/online_results_tables.tex	22	Table1 numeric row GLM/uniform	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	 & $0.5$ & \textbf{0.467} & 0.480 & 0.525 & 0.639 & 0.520 & 0.490 & 0.490 [0.477, 0.505] \\
paper/online_results_tables.tex	24	Table1 numeric row DeepSeek/binary_replay	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	DeepSeek & Outcome replay & 5.943 & 1.257 & 1.254 & 1.216 & 1.261 & 1.249 & 1.249 [1.240, 1.258] \\
paper/online_results_tables.tex	25	Table1 numeric row DeepSeek/soft	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	 & $0.8/0.2$ & 1.234 & 1.054 & 1.044 & 1.014 & 1.055 & 1.042 & 1.047 [1.002, 1.096] \\
paper/online_results_tables.tex	26	Table1 numeric row DeepSeek/uniform	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	 & $0.5$ & 0.928 & 0.766 & 0.771 & 0.813 & 0.798 & \textbf{0.765} & 0.770 [0.733, 0.814] \\
paper/online_results_tables.tex	28	Table1 numeric row Qwen/binary_replay	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	Qwen & Outcome replay & 3.822 & 1.044 & 1.042 & \textbf{0.997} & 1.072 & 1.054 & 1.054 [1.032, 1.077] \\
paper/online_results_tables.tex	29	Table1 numeric row Qwen/soft	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	Uses definitions in caption to compare policies within one model/scenario.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	 & $0.8/0.2$ & 1.111 & 0.963 & 0.957 & \textbf{0.920} & 0.989 & 0.965 & 0.964 [0.933, 0.999] \\
paper/online_results_tables.tex	30	Table1 numeric row Qwen/uniform	Reports seven policy means and Full interval	Uses definitions in caption to compare policies within one model/scenario.	States Full rule under probabilistic verification.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates	All9 values in this row independently matched at printed precision; bold classification also checked.	 & $0.5$ & 1.082 & 0.881 & 0.886 & 0.900 & 0.895 & \textbf{0.872} & 0.874 [0.835, 0.915] \\
paper/online_results_tables.tex	37	Table2 scope	Introduces selected sensitivities	States Full rule under probabilistic verification.	Uses same-condition reactive bill as denominator.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Supported.	\caption{Sensitivity of the full rule under probabilistic verification.
paper/online_results_tables.tex	38	Table2 metric	Defines ratios	Uses same-condition reactive bill as denominator.	Disambiguates5C as multiplying both compilation prices.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	All30 rounded ratio values match summary.	Cost entries are mean token-cost ratios to agent-only service in the same condition.
paper/online_results_tables.tex	39	Table2 parameter values	Defines base and price5x	Disambiguates5C as multiplying both compilation prices.	Prevents mixing auxiliary penalty into token ratio.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Correct.	Base uses $h=0.02$, and $5C$ multiplies both successful and failed compilation costs by five.
paper/online_results_tables.tex	40	Table2 silent account	Defines silent fraction and pure-token display	Prevents mixing auxiliary penalty into token ratio.	Names Silent minus detected base, not delta versus reactive.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	Correct.	Silent uses a silent-failure fraction of $0.3$ and reports simulated token cost without the auxiliary penalty.
paper/online_results_tables.tex	41	Table2 quality delta	Defines success comparison	Names Silent minus detected base, not delta versus reactive.	States that unshown predeclared settings remain available.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	All six rounded percentage-point differences match.	The last column is the success-rate difference between Silent and its detected-failure base setting, in percentage points.
paper/online_results_tables.tex	42	Table2 coverage	Points to complete retained study	States that unshown predeclared settings remain available.	Compares one-factor conditions under same model/stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json	109 completed records include residency/router and GLM failure-price settings.	The code and retained result records contain all other predeclared sensitivity settings.}
paper/online_results_tables.tex	50	Table2 numeric row GLM/bursty	Reports five cost ratios and one success-rate change	Compares one-factor conditions under same model/stream.	Compares one-factor conditions under same model/stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft sensitivity cells	All6 numeric entries independently matched at printed precision.	GLM & Bursty & 0.287 & 0.224 & 0.539 & 0.815 & 0.287 & -1.40 \\
paper/online_results_tables.tex	51	Table2 numeric row GLM/bpi2019	Reports five cost ratios and one success-rate change	Compares one-factor conditions under same model/stream.	Compares one-factor conditions under same model/stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft sensitivity cells	All6 numeric entries independently matched at printed precision.	 & BPI 2019 & 0.178 & 0.109 & 0.466 & 0.416 & 0.175 & -1.66 \\
paper/online_results_tables.tex	53	Table2 numeric row DeepSeek/bursty	Reports five cost ratios and one success-rate change	Compares one-factor conditions under same model/stream.	Compares one-factor conditions under same model/stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft sensitivity cells	All6 numeric entries independently matched at printed precision.	DeepSeek & Bursty & 1.078 & 0.993 & 1.061 & 1.198 & 1.080 & -0.08 \\
paper/online_results_tables.tex	54	Table2 numeric row DeepSeek/bpi2019	Reports five cost ratios and one success-rate change	Compares one-factor conditions under same model/stream.	Compares one-factor conditions under same model/stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft sensitivity cells	All6 numeric entries independently matched at printed precision.	 & BPI 2019 & 0.895 & 0.205 & 1.009 & 1.019 & 0.898 & -0.32 \\
paper/online_results_tables.tex	56	Table2 numeric row Qwen/bursty	Reports five cost ratios and one success-rate change	Compares one-factor conditions under same model/stream.	Compares one-factor conditions under same model/stream.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft sensitivity cells	All6 numeric entries independently matched at printed precision.	Qwen & Bursty & 1.060 & 0.983 & 1.027 & 1.075 & 1.064 & -0.23 \\
paper/online_results_tables.tex	57	Table2 numeric row Qwen/bpi2019	Reports five cost ratios and one success-rate change	Compares one-factor conditions under same model/stream.	Closes the reviewed passage; later source changes require a narrow follow-up.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json soft sensitivity cells	All6 numeric entries independently matched at printed precision.	 & BPI 2019 & 0.722 & 0.198 & 1.004 & 1.007 & 0.719 & -0.42 \\
paper/abstract.tex	11	Abstract result	Reports both favorable count and worst cost	Adds concrete simulation outcomes after method and study setting.	Connects outcome variation to verification, imputed prices, and useful reuse.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline	Correct21/63 and maximum1.693. Prefer lower mean cost to distinguish point-estimate count from15 cells with CI wholly below1.	In $63$ base simulation conditions, the protocol costs less than both fixed alternatives in $21$, while its largest cost relative to agent-only service is $1.693$.
paper/abstract.tex	12	Abstract interpretation	States economic constraints identified	Connects outcome variation to verification, imputed prices, and useful reuse.	Closes the reviewed passage; later source changes require a narrow follow-up.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json base/sensitivity cells; experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies	Supported as a scenario-study and algebraic interpretation; no universal policy superiority claimed.	The results identify how verification risk, missing price estimates, and limited reuse constrain the benefit of compilation.
paper/conclusion.tex	8	Conclusion result	Summarizes gains and unsuccessful/deferred acquisition cost	Adds empirical outcome to earlier mechanism summary.	Qualifies savings with21/63 lower fixed-comparator means and frequent simpler-rule advantage.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json aggregates; experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json policy_summaries	Supported at policy-comparison level; delayed-compilation cost is not a separate waiting-time ablation.	The unified simulation shows both the savings it can obtain and the cost of unsuccessful attempts or delayed compilation.
paper/conclusion.tex	9	Conclusion result	Reports limited wins and simpler competitors	Qualifies savings with21/63 lower fixed-comparator means and frequent simpler-rule advantage.	Adds mechanism exposed by the threshold account.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/summary.json headline.comparisons	Correct; recommend lower mean cost for exact statistical interpretation.	It costs less than both fixed alternatives in twenty-one of sixty-three base conditions, but simpler online comparators often cost less.
paper/conclusion.tex	10	Conclusion missing-price implication	States possible blocked initial learning	Adds mechanism exposed by the threshold account.	Connects observed limitations to what the study provides.	experimental-results/guiexp/t2_sim_v3/paper_revision_20260922/component_breakdown.json threshold_dependencies	Supported by three strict initial-price inequalities and unchanged p_hat when no attempt occurs.	Missing failure-price measurements can also rule out an attempt before the protocol has any opportunity to learn whether it would succeed.
paper/conclusion.tex	11	Conclusion contribution	States explicit-assumption comparison value	Connects observed limitations to what the study provides.	Closes the reviewed passage; later source changes require a narrow follow-up.	Declared shared protocol; retained109-cell study	Supported; does not claim optimality or broad deployment guarantee.	The resulting decision study makes these assumptions and costs explicit, providing a basis for evaluating compilation policies under the same task stream.
